what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1331427305054
processors,sysinfo,,,"2",1331427305054
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331427305054
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1331427305054
java.specification.name,sysinfo,,,"Java Platform API Specification",1331427305054
java.specification.vendor,sysinfo,,,"Oracle Corporation",1331427305054
java.specification.version,sysinfo,,,"1.7",1331427305054
java.vendor,sysinfo,,,"Oracle Corporation",1331427305054
java.version,sysinfo,,,"1.7.0_03",1331427305054
java.vm.info,sysinfo,,,"mixed mode",1331427305054
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331427305054
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331427305054
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1331427305054
java.vm.specification.version,sysinfo,,,"1.7",1331427305054
java.vm.vendor,sysinfo,,,"Oracle Corporation",1331427305054
java.vm.version,sysinfo,,,"22.1-b02",1331427305054
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1331427305427
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1331427305432
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1331427305433
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1331427305446
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1331427305458
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1331427305463
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1331427305501
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1331427305539
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1331427305540
